id,sourceName,locality,economicUnits,permanentEstablishments,temporaryEstablishments,economicHouseholds,personsEngaged,permanentPersonsEngaged,temporaryPersonsEngaged,economicHouseholdPersonsEngaged,xlsxRow,pdfPage,printedPage
division-rajshahi,Rajshahi Division,Rural,1197004,461031,30997,704976,2176193,1251848,41451,882894,156,146,122
division-rajshahi,Rajshahi Division,Urban,483713,285887,38445,159381,1233123,979622,52549,200952,157,146,122
district-bogura,Bogura,Total,337253,137446,15197,184610,698575,444935,19623,234017,158,146,122
district-bogura,Bogura,Rural,238300,80484,7491,150325,439124,238340,9368,191416,159,146,122
district-bogura,Bogura,Urban,98953,56962,7706,34285,259451,206595,10255,42601,160,146,122
district-chapainawabganj,Chapainawabganj,Total,145503,65372,4729,75402,265334,167134,6357,91843,161,146,122
district-chapainawabganj,Chapainawabganj,Rural,102663,40650,2379,59634,167681,92476,3260,71945,162,146,122
district-chapainawabganj,Chapainawabganj,Urban,42840,24722,2350,15768,97653,74658,3097,19898,163,146,122
district-joypurhat,Joypurhat,Total,87832,39654,3082,45096,171704,112234,4408,55062,164,146,122
district-joypurhat,Joypurhat,Rural,61239,23238,823,37178,102824,55829,1103,45892,165,146,122
district-joypurhat,Joypurhat,Urban,26593,16416,2259,7918,68880,56405,3305,9170,166,146,122
district-naogaon,Naogaon,Total,261640,108024,14375,139241,483011,291435,18181,173395,167,146,122
district-naogaon,Naogaon,Rural,204770,73808,6348,124614,343968,180776,8019,155173,168,146,122
district-naogaon,Naogaon,Urban,56870,34216,8027,14627,139043,110659,10162,18222,169,146,122
district-natore,Natore,Total,155969,68289,5399,82281,295911,187592,7526,100793,170,146,122
district-natore,Natore,Rural,116180,45532,2738,67910,200162,112903,3856,83403,171,146,122
district-natore,Natore,Urban,39789,22757,2661,14371,95749,74689,3670,17390,172,146,122
district-pabna,Pabna,Total,210027,100676,7013,102338,462171,329642,9152,123377,173,146,122
district-pabna,Pabna,Rural,150633,64488,3445,82700,317696,214416,4314,98966,174,146,122
district-pabna,Pabna,Urban,59394,36188,3568,19638,144475,115226,4838,24411,175,146,122
district-rajshahi,Rajshahi,Total,233275,116223,10504,106548,501787,353525,15857,132405,176,146,122
district-rajshahi,Rajshahi,Rural,138086,57531,2695,77860,240174,139646,4127,96401,177,146,122
district-rajshahi,Rajshahi,Urban,95189,58692,7809,28688,261613,213879,11730,36004,178,146,122
district-sirajganj,Sirajganj,Total,249218,111234,9143,128841,530823,344973,12896,172954,179,146,122
district-sirajganj,Sirajganj,Rural,185133,75300,5078,104755,364564,217462,7404,139698,180,146,122
district-sirajganj,Sirajganj,Urban,64085,35934,4065,24086,166259,127511,5492,33256,181,146,122
division-rangpur,Rangpur Division,Total,1334966,669477,61323,604166,2739710,1908675,80951,750084,182,146,122
division-rangpur,Rangpur Division,Rural,953901,426517,31405,495979,1751343,1098046,38740,614557,183,146,122
division-rangpur,Rangpur Division,Urban,381065,242960,29918,108187,988367,810629,42211,135527,184,146,122
district-dinajpur,Dinajpur,Total,269163,134949,10041,124173,581606,410846,13852,156908,185,146,122
